Common_name,Scientific_name_rept.
orange peel,Citrus sinensis
Irish moss,Chondrus crispus
honey(bee),Apis mellifera
wheat,Triticum aestivum
Spanish cedar,Cedrela odorata
gallberry,Ilex glabra
oats,Avena sativa
hops,Humulus lupulus
barley,Hordeum vulgare
rye,Secale cereale
yeast,Saccharomyces cerevisiae
